,Skrot,Nazwa,Druga,Sektor
118,ELKOP,ELKOP SPÓŁKA AKCYJNA,EKP (ELKOP),GPW: Deweloperzy
119,ELEKTROBUDOWA,ELEKTROBUDOWA SPÓŁKA AKCYJNA,ELB (ELBUDOWA),GPW: Budownictwo
120,ELEKTROTIM,ELEKTROTIM SPÓŁKA AKCYJNA,ELT (ELEKTROTI),GPW: Budownictwo
121,ELZAB,ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SPÓŁKA AKCYJNA,ELZ (ELZAB),GPW: Informatyka
122,EMC,EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA,EMC (EMCINSMED),GPW: Usługi inne
123,ELEMENTAL-HOLDING,ELEMENTAL HOLDING SPÓLKA AKCYJNA,EMT (ELEMENTAL),GPW: Usługi inne
124,ENEA,ENEA SPÓŁKA AKCYJNA,ENA (ENEA),GPW: Energetyka
125,ENEL-MED,CENTRUM MEDYCZNE ENEL-MED SPÓŁKA AKCYJNA,ENE (ENELMED),GPW: Usługi inne
126,ENERGA,ENERGA SPÓŁKA AKCYJNA,ENG (ENERGA),GPW: Energetyka
127,ENERGOINSTAL,ENERGOINSTAL SPÓŁKA AKCYJNA,ENI (ENERGOINS),GPW: Przemysł elektromaszynowy
128,ENERGOAPARATURA,ENERGOAPARATURA SPÓŁKA AKCYJNA,ENP (ENAP),GPW: Budownictwo
129,ENT,ENTER AIR SPÓŁKA AKCYJNA,ENT (ENTER),GPW: Usługi inne
130,ERBUD,ERBUD SPÓŁKA AKCYJNA,ERB (ERBUD),GPW: Budownictwo
131,ERG,ERG SPÓŁKA AKCYJNA,ERG,GPW: Przemysł tworzyw sztucznych
132,ES-SYSTEM,ES-SYSTEM SPÓŁKA AKCYJNA,ESS (ESSYSTEM),GPW: Usługi inne
133,EST,ENEFI ENERGIAHATÉKONYSÁGI NYRT.,EST (ESTAR),GPW: Energetyka
134,EUROTEL,EUROTEL SPÓŁKA AKCYJNA,ETL (EUROTEL),GPW: Handel detaliczny
135,EUROPEJSKIE-CENTRUM-ODSZKODOWAN,EUROPEJSKIE CENTRUM ODSZKODOWAŃ SPÓŁKA AKCYJNA,EUC (EUCO),GPW: Finanse inne
136,EUROCASH,EUROCASH SPÓŁKA AKCYJNA,EUR (EUROCASH),GPW: Handel detaliczny
137,EVEREST-INVESTMENTS,EVEREST INVESTMENTS SPÓŁKA AKCYJNA,EVE (EVEREST),GPW: Finanse inne
138,FEERUM,FEERUM SPÓŁKA AKCYJNA,FEE (FEERUM),GPW: Przemysł metalowy
139,FERRUM,FERRUM SPÓŁKA AKCYJNA,FER (FERRUM),GPW: Przemysł metalowy
140,FAST-FINANCE,FAST FINANCE SPÓŁKA AKCYJNA,FFI (FASTFIN),GPW: Finanse inne
141,FENGHUA-SOLETECH,FENGHUA SOLETECH AG,FGT (FENGHUA),GPW: Przemysł tworzyw sztucznych
142,FAMUR,FAMUR SPÓŁKA AKCYJNA,FMF (FAMUR),GPW: Przemysł elektromaszynowy
143,FMG,FINANCIAL ASSETS MANAGEMENT GROUP SPÓŁKA AKCYJNA,FMG,GPW: Finanse inne
144,FON,FON SE,FON,GPW: Finanse inne
145,FERRO,FERRO SPÓŁKA AKCYJNA,FRO (FERRO),GPW: Przemysł materiałów budowlanych
