,Skrot,Nazwa,Druga,Sektor
693,MOBIMEDIA,MOBIMEDIA SOLUTION SPÓŁKA AKCYJNA,MMS (MOBIMEDIA),NewConnect: Media
694,MINERAL-MIDRANGE,MINERAL MIDRANGE SPÓŁKA AKCYJNA,MND (MINERAL),NewConnect: Informatyka
695,MENNICA-SKARBOWA,MENNICA SKARBOWA SPÓŁKA AKCYJNA,MNS (MENNICASK),NewConnect: e-handel
696,MINOX,MINOX SPÓŁKA AKCYJNA,MNX (MINOX),NewConnect: Handel
697,MODE,MODE SPÓŁKA AKCYJNA,MOE (MODE),NewConnect: Technologie
698,MOV,MOVIE GAMES,MOV (MOVIEGAMES),NewConnect: Informatyka
699,MPAY,MPAY SPÓŁKA AKCYJNA,MPY (MPAY),NewConnect: Usługi finansowe
700,MRD,MEDARD SPÓŁKA AKCYJNA,MRD (MEDARD),NewConnect: Wypoczynek
701,MRG,MERLIN GROUP SPÓŁKA AKCYJNA,MRG (MERLINGRP),NewConnect: Media
702,MR-HAMBURGER,MR HAMBURGER SPÓŁKA AKCYJNA,MRH (HAMBURGER),NewConnect: Wypoczynek
703,MARKA,MARKA SPÓŁKA AKCYJNA,MRK (MARKA),NewConnect: Usługi finansowe
704,METROPOLIS,METROPOLIS SPÓŁKA AKCYJNA,MRS (METROPOLIS),NewConnect: Ochrona zdrowia
705,MOTORICUS,MOTORICUS SPÓŁKA AKCYJNA,MTR (MOTORICUS),NewConnect: Handel
706,MTS,M-TRANS SPÓŁKA AKCYJNA,MTS (MTRANS),NewConnect: Usługi inne
707,MAXIPIZZA,MAXIPIZZA SPÓŁKA AKCYJNA,MXP (MAXIPIZZA),NewConnect: Wypoczynek
708,NOWOCZESNA-FIRMA,NOWOCZESNA FIRMA SPÓŁKA AKCYJNA,NFP (NFPL),NewConnect: Media
709,NOVINA,NOVINA SPÓŁKA AKCYJNA,NOV (NOVINA),NewConnect: Inwestycje
710,NST,NESTMEDIC SPÓŁKA AKCYJNA,NST (NESTMEDIC),NewConnect: Ochrona zdrowia
711,NOTORIA-SERWIS,NOTORIA SERWIS SPÓŁKA AKCYJNA,NTS (NOTORIA),NewConnect: Usługi inne
712,NETWISE,NETWISE SPÓŁKA AKCYJNA,NTW (NETWISE),NewConnect: Informatyka
713,NOVAVIS,NOVAVIS SPÓŁKA AKCYJNA,NVV (NOVAVIS),NewConnect: Eco-energia
714,NWAI-DOM-MAKLERSKI,NWAI DOM MAKLERSKI SPÓŁKA AKCYJNA,NWA (NWAI),NewConnect: Inwestycje
715,NXB,NEXTBIKE POLSKA SPÓŁKA AKCYJNA,NXB (NEXTBIKE),NewConnect: Usługi inne
716,OML,ONE MORE LEVEL SPÓŁKA AKCYJNA,OML (ONEMORE),NewConnect: Ochrona zdrowia
717,ONICO,ONICO SPÓŁKA AKCYJNA,ONC (ONICO),NewConnect: Handel
718,OPTIZEN-LABS,OPTIZEN LABS SPÓŁKA AKCYJNA,OPT (OPTIZENLB),NewConnect: Media
719,ORGANIC-FARMA-ZDROWIA,ORGANIC FARMA ZDROWIA SPÓŁKA AKCYJNA,ORG (ORGANIC),NewConnect: Handel
720,ORZEL,ORZEŁ SPÓŁKA AKCYJNA,ORL (ORZLOPONY),NewConnect: Recykling
721,ORPHEE,ORPHEE SA,ORP (ORPHEE),NewConnect: Ochrona zdrowia
722,OUTDOORZY,OUTDOORZY SPÓŁKA AKCYJNA,OUT (OUTDOORZY),NewConnect: Handel
723,PRESENT24,PRESENT24 SPÓŁKA AKCYJNA,P24 (PRESENT24),NewConnect: e-handel
724,PAS,PASSUS SPÓŁKA AKCYJNA,PAS (PASSUS),NewConnect: Informatyka
725,PREFABET,PRZEDSIĘBIORSTWO PRZEMYSŁU BETONÓW PREFABET - BIAŁE BŁOTA SPÓŁKA AKCYJNA,PBB (PREFABET),NewConnect: Budownictwo
726,PBT,PRIME BIT GAMES SPÓŁKA AKCYJNA,PBT (PBGAMES),NewConnect: Informatyka
727,PHOTON,PHOTON ENERGY N.V.,PEN (PHOTON),NewConnect: Eco-energia
728,PATENT-FUND,PATENT FUND SPÓŁKA AKCYJNA,PFD (PATFUND),NewConnect: Wypoczynek
729,PERMA-FIX-MEDICAL,PERMA-FIX MEDICAL SPÓŁKA AKCYJNA,PFM (PFMEDICAL),NewConnect: Usługi finansowe
730,PHIWIERZY,PHI WIERZYTELNOŚCI SPÓŁKA AKCYJNA,PHI (PHIWIERZY),NewConnect: Usługi finansowe
731,PHARMENA,PHARMENA SPÓŁKA AKCYJNA,PHR (PHARMENA),NewConnect: Ochrona zdrowia
732,PIG,PLANET INNOVATION GROUP SPÓŁKA AKCYJNA,PIG (PLANETINN),NewConnect: Informatyka
733,PIK,PIK SPÓŁKA AKCYJNA,PIK,NewConnect: Handel
734,PROPERTYF,PROPERTY LEASE FUND SPÓŁKA AKCYJNA,PLE (PROPERTYF),NewConnect: Usługi inne
735,PLG,PL GROUP SPÓŁKA AKCYJNA,PLG (PLGROUP),NewConnect: Handel
736,PLATIGE-IMAGE,PLATIGE IMAGE SPÓŁKA AKCYJNA,PLI (PLATIGE),NewConnect: Media
737,POLMAN,POLMAN SPÓŁKA AKCYJNA,PLM (POLMAN),NewConnect: Recykling
738,POLMT,POLSKA MEAT SPÓŁKA AKCYJNA,PME (POLMT),NewConnect: Handel
739,PMF,PREMIUM FUND SPÓŁKA AKCYJNA,PMF (PREMIUMF),NewConnect: Handel
740,PRIME-MINERALS,PRIME MINERALS SPÓŁKA AKCYJNA,PMT (PRIME),NewConnect: Usługi finansowe
741,PNT,POINTPACK.PL SPÓŁKA AKCYJNA,PNT (POINTPACK),NewConnect: Usługi inne
742,PRO-LOG,PRO-LOG SPÓŁKA AKCYJNA,PRL (PROLOG),NewConnect: Usługi inne
743,PARTNER-NIERUCHOMOSCI,PARTNER-NIERUCHOMOŚCI SPÓŁKA AKCYJNA,PRN (PARTNER),NewConnect: Nieruchomości
744,APN-PROMISE,A.P.N. PROMISE SPÓŁKA AKCYJNA,PRO (PROMISE),NewConnect: Handel
745,PRYMUS,PRYMUS SPÓŁKA AKCYJNA,PRS (PRYMUS),NewConnect: Handel
746,PLASMA-SYSTEM,PLASMA SYSTEM SPÓŁKA AKCYJNA,PSM (PLASMA),NewConnect: Technologie
747,PRESTO,PRESTO SPÓŁKA AKCYJNA,PST (PRESTO),NewConnect: Recykling
748,PTE,PARCEL TECHNIK SPÓŁKA AKCYJNA,PTE (PARCELTEC),NewConnect: Usługi inne
749,POLTRONIC,POLTRONIC SPÓŁKA AKCYJNA,PTN (POLTRONIC),NewConnect: Handel
750,PTWP,POLSKIE TOWARZYSTWO WSPIERANIA PRZEDSIĘBIORCZOŚCI SPÓŁKA AKCYJNA,PTW (PTWP),NewConnect: Media
751,PUR,PURE BIOLOGICS SPÓŁKA AKCYJNA,PUR (PURE),NewConnect: Ochrona zdrowia
752,PYLON,PYLON SPÓŁKA AKCYJNA,PYL (PYLON),NewConnect: Technologie
753,QON,QUARTICON SPÓŁKA AKCYJNA,QON (QUARTICON),NewConnect: Informatyka
754,QUART-DEVELOPMENT,QUART DEVELOPMENT SPÓŁKA AKCYJNA,QRT (QUART),NewConnect: Nieruchomości
755,QUBICGMS,QUBICGAMES SPÓŁKA AKCYJNA,QUB (QUBICGMS),NewConnect: Informatyka
756,ROBINSON-EUROPE,ROBINSON EUROPE SPÓŁKA AKCYJNA,RBS (ROBINSON),NewConnect: Handel
757,ROCCA,ROCCA SPÓŁKA AKCYJNA,RCA (ROCCA),NewConnect: Budownictwo
758,RUCH-CHORZOW,RUCH CHORZÓW SPÓŁKA AKCYJNA,RCW (RUCHCHORZ),NewConnect: Wypoczynek
759,READ-GENE,READ-GENE SPÓŁKA AKCYJNA,RDG (READGENE),NewConnect: Technologie
760,REMEDIS,REMEDIS SPÓŁKA AKCYJNA,REM (REMEDIS),NewConnect: Usługi finansowe
761,ROVITA-SPOLKA,ROVITA SPÓŁKA AKCYJNA,ROV (ROVITA),NewConnect: Handel
762,RSP,REMOR SOLAR POLSKA SPÓŁKA AKCYJNA,RSP (REMORSOL),NewConnect: Eco-energia
763,RSY,RSY SPÓŁKA AKCYJNA,RSY,NewConnect: Technologie
764,S4E,S4E SPÓŁKA AKCYJNA,S4E,NewConnect: Technologie
765,SOFTBLUE,SOFTBLUE SPÓŁKA AKCYJNA,SBE (SOFTBLUE),NewConnect: Technologie
766,SCP,SCOPE FLUIDICS SPÓŁKA AKCYJNA,SCP (SCPFL),NewConnect: Ochrona zdrowia
767,STEM-CELLS-SPIN,STEM CELLS SPIN SPÓŁKA AKCYJNA,SCS (STEMCELLS),NewConnect: Ochrona zdrowia
768,SEVENET,SEVENET SPÓŁKA AKCYJNA,SEV (SEVENET),NewConnect: Informatyka
769,SFD,SFD SPÓŁKA AKCYJNA,SFD,NewConnect: e-handel
770,POLKAP,SKOCZOWSKA FABRYKA KAPELUSZY POLKAP SPÓŁKA AKCYJNA,SFK (SFKPOLKAP),NewConnect: Handel
771,SFERANET,SFERANET SPÓŁKA AKCYJNA,SFN (SFERANET),NewConnect: Telekomunikacja
772,SAKANA,SAKANA SPÓŁKA AKCYJNA,SKN (SAKANA),NewConnect: Wypoczynek
773,SLK,ŚLĄSKIE KAMIENICE SPÓŁKA AKCYJNA,SLK (SLASKIEKA),NewConnect: Nieruchomości
774,SMS-KREDYT-HOLDING,SMS KREDYT HOLDING SPÓŁKA AKCYJNA,SMS (SMSKREDYT),NewConnect: Usługi finansowe
775,SNG,SYNERGA.FUND SPÓŁKA AKCYJNA,SNG (SYNERGA),NewConnect: Inwestycje
776,SP1,MATRX PHARMACEUTICALS SPÓŁKA AKCYJNA,SP1 (SPAC1),NewConnect: Inwestycje
777,SPARKVC,SPARK VC SPÓŁKA AKCYJNA,SPK (SPARKVC),NewConnect: Media
778,SURFLAND,SURFLAND SYSTEMY KOMPUTEROWE SPÓŁKA AKCYJNA,SSK (SURFLAND),NewConnect: Informatyka
779,STANDREW,STANDREW SPÓŁKA AKCYJNA,STD (STANDREW),NewConnect: Technologie
780,STOPKLATKA,STOPKLATKA SPÓŁKA AKCYJNA,STK (STOPKLA),NewConnect: Media
781,STO,STOPPOINT SPÓŁKA AKCYJNA,STO (STOPPOINT),NewConnect: Handel
782,SUMMA-LINGUAE,SUMMA LINGUAE SPÓŁKA AKCYJNA,SUL (SUMMALING),NewConnect: Usługi inne
783,SUNTECH,SUNTECH SPÓŁKA AKCYJNA,SUN (SUNTECH),NewConnect: Informatyka
784,SYMBIO-POLSKA,SYMBIO POLSKA SPÓŁKA AKCYJNA,SYM (SYMBIO),NewConnect: Handel
785,SZAR,SZAR SPÓŁKA AKCYJNA,SZR (SZAR),NewConnect: Handel
786,TERMO2PWR,TERMO2POWER SPÓŁKA AKCYJNA,T2P (TERMO2PWR),NewConnect: Eco-energia
787,TECHMADEX,TECHMADEX SPÓŁKA AKCYJNA,TDX (TECHMADEX),NewConnect: Technologie
788,THD,THE DUST,THD (THEDUST),NewConnect: Informatyka
789,TECHINVGR,TECH INVEST GROUP SPÓŁKA AKCYJNA,TIG (TECHINVGR),NewConnect: Usługi finansowe
790,TELGAM,PRZEDSIĘBIORSTWO TELEKOMUNIKACYJNE TELGAM SPÓLKA AKCYJNA,TLG (TELGAM),NewConnect: Telekomunikacja
791,TLH,TELEHORSE SPÓŁKA AKCYJNA,TLH (TELEHORSE),NewConnect: Usługi finansowe
792,TELESTO,TELESTO SPÓŁKA AKCYJNA,TLO (TELESTO),NewConnect: Recykling
793,TELESTRADA,TELESTRADA SPÓŁKA AKCYJNA,TLS (TELESTR),NewConnect: Telekomunikacja
794,TELIANI-VALLEY,TELIANI VALLEY POLSKA SPÓŁKA AKCYJNA,TLV (TELIANI),NewConnect: Handel
795,TERMOEXPERT,TERMOEXPERT SPÓŁKA AKCYJNA,TME (TERMOEXP),NewConnect: Budownictwo
796,TELEMEDYCYNA,TELEMEDYCYNA POLSKA SPÓŁKA AKCYJNA,TMP (TELEMEDPL),NewConnect: Ochrona zdrowia
797,TAMEX,TAMEX OBIEKTY SPORTOWE SPÓŁKA AKCYJNA,TOS (TAMEX),NewConnect: Budownictwo
798,TAX-NET,TAX-NET SPÓŁKA AKCYJNA,TXN (TAXNET),NewConnect: Usługi finansowe
799,ARTP-CAPITAL,ARTP CAPITAL SPÓŁKA AKCYJNA,TYP (ARTP),NewConnect: Media
800,UFC,UNIFIED FACTORY SPÓŁKA AKCYJNA,UFC (UNIFIED),NewConnect: Informatyka
801,ULG,ULTIMATE GAMES SPÓŁKA AKCYJNA,ULG (ULTGAMES),NewConnect: Informatyka
802,UNITED,UNITED SPÓŁKA AKCYJNA,UTD (UNITED),NewConnect: Usługi inne
803,VAB,VABUN SPÓŁKA AKCYJNA,VAB (VABUN),NewConnect: Usługi inne
804,VAR,VARSAV GAME STUDIOS SPÓŁKA AKCYJNA,VAR (VARSAV),NewConnect: Informatyka
805,VENTURE-CAPITAL-POLAND,VENTURE CAPITAL POLAND SPÓŁKA AKCYJNA,VCP,NewConnect: Inwestycje
806,VIDIS,VIDIS SPÓŁKA AKCYJNA,VDS (VIDIS),NewConnect: Handel
807,MPL-VERBUM,MPL VERBUM SPÓŁKA AKCYJNA,VER (MPLVERBUM),NewConnect: Usługi inne
808,VIATRON,VIATRON SPÓŁKA AKCYJNA,VIA (VIATRON),NewConnect: Usługi inne
809,VIRTUAL-VISION,EUROINVESTMENT SPÓŁKA AKCYJNA,VIV (VISION),NewConnect: Media
810,VAKOMTEK,VAKOMTEK SPÓŁKA AKCYJNA,VKT (VAKOMTEK),NewConnect: Handel
811,VOI,VOICETEL COMMUNICATIONS SPÓŁKA AKCYJNA,VOI (VOICETEL),NewConnect: Informatyka
812,VERBICOM,VERBICOM SPÓŁKA AKCYJNA,VRB (VERBICOM),NewConnect: Technologie
813,VTE,VERTE SPÓŁKA AKCYJNA,VTE (VERTE),NewConnect: Usługi inne
814,WDB-BROKERZY-UBEZPIECZENIOWI,WDB BROKERZY UBEZPIECZENIOWI SPÓŁKA AKCYJNA,WDB (WDBBU),NewConnect: Usługi finansowe
815,WERTH-HOLZ,WERTH-HOLZ SPÓŁKA AKCYJNA,WHH (WERTHHOLZ),NewConnect: Budownictwo
816,WODKAN,WODKAN PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA AKCYJNA,WOD (WODKAN),NewConnect: Usługi inne
817,WEST-REAL-ESTATE,WEST REAL ESTATE SPÓŁKA AKCYJNA,WRE (WESTREAL),NewConnect: Nieruchomości
818,WIERZYCIEL,WIERZYCIEL SPÓŁKA AKCYJNA,WRL (WIERZYCL),NewConnect: Usługi finansowe
819,WTF,WOLFS TECHNOLOGY FUND SPÓŁKA AKCYJNA,WTF (WOLFSTF),NewConnect: Nieruchomości
820,XPLUS,XPLUS SPÓŁKA AKCYJNA,XPL (XPLUS),NewConnect: Informatyka
821,NEPTIS,NEPTIS SPÓŁKA AKCYJNA,YAN (NEPTIS),NewConnect: Informatyka
