,Skrot,Sektor
528,BLUE-TAX-GROUP,NewConnect: Usługi finansowe
529,BTK,NewConnect: Informatyka
530,BTX,NewConnect: Budownictwo
531,BVT,NewConnect: Usługi finansowe
532,CAM,NewConnect: Usługi inne
533,CYFROWE-CENTRUM-SERWISOWE,NewConnect: Handel
534,CALL-CENTER-TOOLS,NewConnect: Usługi inne
535,CFG,NewConnect: Informatyka
536,CFS,NewConnect: Usługi finansowe
537,CHP,NewConnect: Informatyka
538,COLUMBUS-CAPITAL,NewConnect: Inwestycje
539,CLOUD-TECHNOLOGIES,NewConnect: Informatyka
540,CALESCO,NewConnect: Usługi inne
541,COMECO,NewConnect: Handel
542,COMPRESS,NewConnect: Media
543,CORELENS,NewConnect: Ochrona zdrowia
544,CRJ,NewConnect: Informatyka
545,CEREAL-PLANET,NewConnect: Usługi inne
546,COPERNICUS-SECURITIES,NewConnect: Inwestycje
547,CASPAR-ASSET-MANAGEMENT,NewConnect: Inwestycje
548,CSY,NewConnect: Technologie
549,CTE,NewConnect: Recykling
550,CENTURION-FINANCE,NewConnect: Usługi finansowe
551,CWA,NewConnect: Usługi inne
552,CWP,NewConnect: Usługi inne
553,CZK,NewConnect: Handel
554,DENT-A-MEDICAL,NewConnect: Ochrona zdrowia
555,DCD,NewConnect: Usługi inne
556,DEVORAN,NewConnect: Handel
557,DIGITAL-AVENUE,NewConnect: Media
558,DIN,NewConnect: Wypoczynek
559,DEKTRA,NewConnect: Handel
560,DOM-LEKARSKI,NewConnect: Ochrona zdrowia
561,DANKS,NewConnect: Usługi finansowe
562,DOK,NewConnect: Informatyka
563,DRF,NewConnect: Usługi finansowe
564,EBC-SOLICITORS,NewConnect: Usługi finansowe
565,EKOBOX,NewConnect: Budownictwo
566,EC2,NewConnect: Informatyka
567,ECA,NewConnect: Usługi finansowe
568,ECC,NewConnect: Informatyka
569,EUROSNACK,NewConnect: Handel
570,EASYCALL-PL,NewConnect: Telekomunikacja
571,ELECTROCERAMICS,NewConnect: Technologie
572,EDISON-SPOLKA,NewConnect: Informatyka
573,EUROPEJSKI-FUNDUSZ-ENERGII,NewConnect: Informatyka
574,EFIX,NewConnect: Inwestycje
575,EKOPOL,NewConnect: Technologie
576,E-KIOSK,NewConnect: e-handel
577,ELEKTROMONT,NewConnect: Usługi inne
578,ELQ,NewConnect: Usługi inne
579,EMMERSON,NewConnect: Nieruchomości
580,E-MUZYKA,NewConnect: Media
581,EO-NETWORKS,NewConnect: Informatyka
582,EPR,NewConnect: Budownictwo
583,ERNE,NewConnect: Inwestycje
584,EUROSYSTEM,NewConnect: Telekomunikacja
585,EASTSIDECAPITAL,NewConnect: Inwestycje
586,ESKIMOS,NewConnect: Handel
587,EURO-TAX-PL,NewConnect: Usługi finansowe
588,EXAMOBILE,NewConnect: Informatyka
589,EXCELLENCE,NewConnect: Handel
590,THE-FARM-51-GROUP,NewConnect: Informatyka
591,FACHOWCY-PL-VENTURES,NewConnect: Media
592,FDG,NewConnect: Informatyka
593,FUNDUSZ-HIPOTECZNY-DOM,NewConnect: Usługi finansowe
594,FABRYKA-KONSTRUKCJI-DREWNIANYCH,NewConnect: Budownictwo
595,FLUID,NewConnect: Eco-energia
