,link,name,second
231,KREZUS,KREZUS SPÓŁKA AKCYJNA,KZS (KREZUS)
232,LABO-PRINT,LABO PRINT SPÓŁKA AKCYJNA,LAB (LABOPRINT)
233,LIBET,LIBET SPÓŁKA AKCYJNA,LBT (LIBET)
234,LUBAWA,LUBAWA SPÓŁKA AKCYJNA,LBW (LUBAWA)
235,LC-CORP,LC CORP SPÓŁKA AKCYJNA,LCC (LCCORP)
236,LENA-LIGHTING,LENA LIGHTING SPÓŁKA AKCYJNA,LEN (LENA)
237,LKD,LOKUM DEWELOPER SPÓŁKA AKCYJNA,LKD (LOKUM)
238,LPP,LPP SPÓŁKA AKCYJNA,LPP
239,LARK-PL,LARK.PL SPÓŁKA AKCYJNA,LRK (LARK)
240,CAM-MEDIA,LARQ SPÓŁKA AKCYJNA,LRQ (LARQ)
241,LSI-SOFTWARE,LSI SOFTWARE SPÓŁKA AKCYJNA,LSI (LSISOFT)
242,LOTOS,GRUPA LOTOS SPÓŁKA AKCYJNA,LTS (LOTOS)
243,LENTEX,LENTEX SPÓŁKA AKCYJNA,LTX (LENTEX)
244,LIVECHAT,LIVECHAT SOFTWARE SPÓŁKA AKCYJNA,LVC (LIVECHAT)
245,BOGDANKA,LUBELSKI WĘGIEL BOGDANKA SPÓŁKA AKCYJNA,LWB (BOGDANKA)
246,MABION,MABION SPÓŁKA AKCYJNA,MAB (MABION)
247,MAKARONY-POLSKIE,MAKARONY POLSKIE SPÓŁKA AKCYJNA,MAK (MAKARONPL)
248,MBANK,MBANK SPÓŁKA AKCYJNA,MBK (MBANK)
249,MBR,MO-BRUK SPÓŁKA AKCYJNA,MBR (MOBRUK)
250,MBW,MARIE BRIZARD WINE &amp;amp; SPIRITS,MBW (MBWS)
251,MCI,MCI CAPITAL SPÓŁKA AKCYJNA,MCI
252,MEDIACAP,MEDIACAP SPÓŁKA AKCYJNA,MCP (MEDIACAP)
253,MERCOR,MERCOR SPÓŁKA AKCYJNA,MCR (MERCOR)
254,MEDICALGORITHMICS,MEDICALGORITHMICS SPÓŁKA AKCYJNA,MDG (MEDICALG)
255,MDI,MDI ENERGIA SPÓŁKA AKCYJNA,MDI (MDIENERGIA)
256,MEGARON,MEGARON SPÓŁKA AKCYJNA,MEG (MEGARON)
257,MEX-POLSKA,MEX POLSKA SPÓŁKA AKCYJNA,MEX (MEXPOLSKA)
258,MFO,MFO SPÓŁKA AKCYJNA,MFO
259,MGT,MANGATA HOLDING SPÓŁKA AKCYJNA,MGT (MANGATA)
260,BANK-MILLENNIUM,BANK MILLENNIUM SPÓŁKA AKCYJNA,MIL (MILLENNIUM)
261,MIRACULUM,MIRACULUM SPÓŁKA AKCYJNA,MIR (MIRACULUM)
262,MLP-GROUP,MLP GROUP SPÓŁKA AKCYJNA,MLG (MLPGROUP)
263,MILKILAND,MILKILAND N.V.,MLK (MILKILAND)
264,MLS,ML SYSTEM SPÓŁKA AKCYJNA,MLS (MLSYSTEM)
265,MENNICA-POLSKA,MENNICA POLSKA SPÓŁKA AKCYJNA,MNC (MENNICA)
266,MOJ,MOJ SPÓŁKA AKCYJNA,MOJ
267,MOL-MAGYAR-OLAJ,MOL MAGYAR OLAJ - ES GAZIPARI NYILVANOSAN MUKODO RESZVENYTARSASAG,MOL
268,MONNARI-TRADE,MONNARI TRADE SPÓŁKA AKCYJNA,MON (MONNARI)
269,MPH,MASTER PHARM SPÓŁKA AKCYJNA,MPH (MASTERPHA)
270,MIRBUD,MIRBUD SPÓŁKA AKCYJNA,MRB (MIRBUD)
271,MERCATOR,MERCATOR MEDICAL SPÓŁKA AKCYJNA,MRC (MERCATOR)
272,MOSTOSTAL-PLOCK,MOSTOSTAL PŁOCK SPÓŁKA AKCYJNA,MSP (MOSTALPLC)
273,MOSTOSTAL-WARSZAWA,MOSTOSTAL WARSZAWA SPÓŁKA AKCYJNA,MSW (MOSTALWAR)
274,MOSTOSTAL-ZABRZE,MOSTOSTAL ZABRZE SPÓŁKA AKCYJNA,MSZ (MOSTALZAB)
275,MEDIATEL,MEDIATEL SPÓŁKA AKCYJNA,MTL (MEDIATEL)
276,MVP,MARVIPOL DEVELOPMENT SPÓŁKA AKCYJNA,MVP (MARVIPOL)
277,MW-TRADE,M.W. TRADE SPÓŁKA AKCYJNA,MWT (MWTRADE)
278,MXC,MAXCOM SPÓŁKA AKCYJNA,MXC (MAXCOM)
279,MUZA,MUZA SPÓŁKA AKCYJNA,MZA (MUZA)
280,MZN,MZN PROPERTY SPÓŁKA AKCYJNA,MZN (MORIZON)
281,NCT,NORTH COAST SPÓŁKA AKCYJNA,NCT (NORTCOAST)
282,NETMEDIA,NETMEDIA SPÓŁKA AKCYJNA,NEM (NETMEDIA)
283,NETIA,NETIA SPÓŁKA AKCYJNA,NET (NETIA)
284,NEUCA,NEUCA SPÓŁKA AKCYJNA,NEU (NEUCA)
285,NNG,NANOGROUP SPÓŁKA AKCYJNA,NNG (NANOGROUP)
286,NTT,NTT SYSTEM SPÓŁKA AKCYJNA,NTT (NTTSYSTEM)
287,NTU,AB NOVATURAS,NTU (NOVATURAS)
288,PANOVA,P.A. NOVA SPÓŁKA AKCYJNA,NVA (PANOVA)
289,NOVITA,NOVITA SPÓŁKA AKCYJNA,NVT (NOVITA)
290,NEWAG,NEWAG SPÓŁKA AKCYJNA,NWG (NEWAG)
291,NWR-NEW-WORLD-RESOURCES,NEW WORLD RESOURCES PLC,NWR (NEWWORLDR)
292,OAT,ONCOARENDI THERAPEUTICS SPÓŁKA AKCYJNA,OAT
293,ORZEL-BIALY,ORZEŁ BIAŁY SPÓŁKA AKCYJNA,OBL (ORZBIALY)
